energy,tempo,danceability,genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",3,0.0304,100,Die With A Smile,Today's Top Hits,Die With A Smile
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,4,0.0358,97,HIT ME HARD AND SOFT,Today's Top Hits,BIRDS OF A FEATHER
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,4,0.0368,93,The Secret of Us (Deluxe),Today's Top Hits,That’s So True
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,4,0.0634,81,Short n' Sweet,Today's Top Hits,Taste
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",4,0.26,98,APT.,Today's Top Hits,APT.
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,4,0.0356,94,"Good Luck, Babe!",Today's Top Hits,"Good Luck, Babe!"
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,4,0.0411,88,Diet Pepsi,Today's Top Hits,Diet Pepsi
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,4,0.0431,93,HIT ME HARD AND SOFT,Today's Top Hits,WILDFLOWER
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,4,0.0254,71,Sailor Song,Today's Top Hits,Sailor Song
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",4,0.0507,92,Timeless,Today's Top Hits,Timeless (with Playboi Carti)
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",4,0.0983,85,Guess featuring Billie Eilish,Today's Top Hits,Guess featuring billie eilish
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,4,0.054,88,Please Please Please,Today's Top Hits,Please Please Please
0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,4,0.0486,79,2 hands,Today's Top Hits,2 hands
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4,0.0273,86,A Bar Song (Tipsy),Today's Top Hits,A Bar Song (Tipsy)
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,4,0.0421,88,The Rise and Fall of a Midwest Princess,Today's Top Hits,HOT TO GO!
0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,4,0.117,86,Disease,Today's Top Hits,Disease
0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,4,0.116,82,Moonlit Floor (Kiss Me),Today's Top Hits,Moonlit Floor (Kiss Me)
0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,4,0.0284,86,Love Somebody,Today's Top Hits,Love Somebody
0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,3,0.033,90,The Secret of Us,Today's Top Hits,"I Love You, I'm Sorry"
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4,0.042,86,Move,Today's Top Hits,Move
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",4,0.461,88,CHROMAKOPIA,Today's Top Hits,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)"
0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,4,0.0285,90,Espresso,Today's Top Hits,Espresso
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,4,0.0432,89,Mantra,Today's Top Hits,Mantra
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",4,0.204,82,Cosa Nuestra,Today's Top Hits,Qué Pasaría...
0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,4,0.101,85,HARDSTONE PSYCHO,Today's Top Hits,NEW DROP
0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4,0.0264,84,I Had Some Help,Today's Top Hits,I Had Some Help (Feat. Morgan Wallen)
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,4,0.0412,77,Unheard,Today's Top Hits,Too Sweet
0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,4,0.0278,84,Submarine,Today's Top Hits,No One Noticed
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,93,Tu Boda,Today's Top Hits,Tu Boda
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,4,0.0295,88,Stargazing,Today's Top Hits,Stargazing
0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4,0.363,70,WHATCHU KNO ABOUT ME (with Sexyy Red),Today's Top Hits,WHATCHU KNO ABOUT ME (with Sexyy Red)
0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,4,0.0427,81,eternal sunshine,Today's Top Hits,we can't be friends (wait for your love)
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,3,0.0603,85,Beautiful Things,Today's Top Hits,Beautiful Things
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4,0.284,84,LA PANTERA NEGRA (DELUXE),Today's Top Hits,DEGENERE 👑 (feat. benny blanco)
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,4,0.0442,85,Touch,Today's Top Hits,Touch
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,3,0.0337,89,I've Tried Everything But Therapy (Part 1),Today's Top Hits,Lose Control
0.668,90.969,0.646,pop,-5.203,0.212,0.64,Mark Ambor,4,0.0282,82,Belong Together,Today's Top Hits,Belong Together
0.668,128.027,0.924,pop,-6.795,0.0678,0.787,KAROL G,4,0.0469,93,Si Antes Te Hubiera Conocido,Today's Top Hits,Si Antes Te Hubiera Conocido
0.454,159.982,0.689,pop,-7.643,0.0707,0.912,Djo,4,0.0584,89,DECIDE,Today's Top Hits,End of Beginning
0.386,192.004,0.504,pop,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4,0.0308,84,THE TORTURED POETS DEPARTMENT,Today's Top Hits,Fortnight (feat. Post Malone)
0.681,155.079,0.56,pop,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4,0.244,89,PRIMERA MUSA,Today's Top Hits,Q U E V A S H A C E R H O Y ?
0.472,101.061,0.898,pop,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,88,Not Like Us,Today's Top Hits,Not Like Us
0.711,146.921,0.487,pop,-4.22,0.152,0.317,Jin,4,0.0322,85,Happy,Today's Top Hits,Running Wild
0.712,91.98,0.848,pop,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4,0.0981,84,57,Today's Top Hits,57
0.645,114.933,0.882,pop,-7.233,0.057,0.788,Ndotz,4,0.0601,87,Embrace It,Today's Top Hits,Embrace It
0.872,184.115,0.466,pop,-3.344,0.121,0.806,Linkin Park,4,0.0336,89,The Emptiness Machine,Today's Top Hits,The Emptiness Machine
0.756,116.034,0.66,pop,-3.743,0.193,0.838,Jimin,4,0.032,92,MUSE,Today's Top Hits,Who
0.508,147.125,0.579,rock,-9.484,0.0575,0.609,Eagles,4,0.027,81,Hotel California (2013 Remaster),Rock Classics,Hotel California - 2013 Remaster
0.89,133.52,0.502,rock,-5.175,0.217,0.259,AC/DC,4,0.0364,83,The Razors Edge,Rock Classics,Thunderstruck
0.446,123.596,0.743,rock,-7.807,0.337,0.278,The White Stripes,4,0.0683,82,Elephant,Rock Classics,Seven Nation Army
0.43,91.844,0.515,rock,-9.935,0.129,0.104,Radiohead,4,0.0372,86,Pablo Honey,Rock Classics,Creep
0.824,120.125,0.5,rock,-5.846,0.0916,0.539,Nirvana,4,0.0388,76,Nevermind (Remastered),Rock Classics,Come As You Are
0.767,96.483,0.592,rock,-2.788,0.127,0.328,Red Hot Chili Peppers,4,0.027,81,Californication (Deluxe Edition),Rock Classics,Californication
0.952,125.304,0.445,rock,-5.321,0.112,0.624,Guns N' Roses,4,0.0522,84,Appetite For Destruction,Rock Classics,Sweet Child O' Mine
0.795,158.691,0.464,rock,-9.267,0.399,0.612,The Rolling Stones,4,0.0926,81,Aftermath,Rock Classics,"Paint It, Black"
0.492,120.151,0.828,rock,-9.744,0.128,0.789,Fleetwood Mac,4,0.0276,84,Rumours (Super Deluxe),Rock Classics,Dreams - 2004 Remaster
0.881,158.066,0.413,rock,-5.541,0.0805,0.364,Foo Fighters,4,0.0367,81,The Colour And The Shape,Rock Classics,Everlong
0.716,94.379,0.535,rock,-5.025,0.659,0.901,Joan Jett & the Blackhearts,4,0.0431,77,I Love Rock 'N' Roll (Expanded Edition),Rock Classics,I Love Rock 'N Roll
0.322,93.503,0.475,rock,-10.687,0.11,0.387,Kansas,4,0.0283,79,Point Of Know Return (Expanded Edition),Rock Classics,Dust in the Wind
0.394,104.114,0.693,rock,-15.882,0.247,0.721,Pink Floyd,4,0.0428,74,The Wall,Rock Classics,"Another Brick in the Wall, Pt. 2"
0.899,152.445,0.475,rock,-4.321,0.14,0.603,Bon Jovi,4,0.0637,72,Bon Jovi,Rock Classics,Runaway
0.943,85.064,0.442,rock,-3.205,0.091,0.781,Green Day,4,0.0602,80,Dookie,Rock Classics,Basket Case
0.345,84.581,0.559,rock,-13.496,0.141,0.458,Red Hot Chili Peppers,4,0.0459,82,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,Under the Bridge
0.814,147.193,0.673,rock,-5.411,0.343,0.728,Billy Idol,4,0.0367,70,Billy Idol,Rock Classics,White Wedding - Pt. 1
0.767,127.361,0.532,rock,-5.509,0.39,0.755,AC/DC,4,0.0574,81,Back In Black,Rock Classics,You Shook Me All Night Long
0.863,136.302,0.723,rock,-7.89,0.128,0.931,The Rolling Stones,4,0.0338,76,Out Of Our Heads,Rock Classics,(I Can't Get No) Satisfaction - Mono Version
0.449,100.456,0.486,rock,-10.298,0.54,0.549,David Bowie,4,0.0267,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Rock Classics,Starman - 2012 Remaster
0.902,89.74,0.412,rock,-11.6,0.405,0.422,Led Zeppelin,4,0.405,72,Led Zeppelin II (1994 Remaster),Rock Classics,Whole Lotta Love - 1990 Remaster
0.722,103.886,0.55,rock,-11.729,0.11,0.716,The Doors,4,0.0283,70,L.A. Woman,Rock Classics,Riders on the Storm
0.944,105.338,0.394,rock,-6.506,0.298,0.265,Pearl Jam,4,0.0761,77,Ten,Rock Classics,Even Flow
0.952,122.093,0.398,rock,-6.042,0.1,0.584,Bruce Springsteen,4,0.061,72,Born In The U.S.A.,Rock Classics,Born in the U.S.A.
0.917,171.176,0.356,rock,-6.006,0.406,0.518,The Verve,4,0.0479,79,Urban Hymns (Remastered 2016),Rock Classics,Bitter Sweet Symphony - Remastered 2016
0.589,124.634,0.455,rock,-8.64,0.104,0.254,Guns N' Roses,4,0.0328,75,Use Your Illusion I,Rock Classics,Don't Cry (Original)
0.805,113.253,0.438,rock,-6.237,0.0842,0.564,Jimi Hendrix,4,0.0624,72,Electric Ladyland,Rock Classics,All Along the Watchtower
0.239,189.507,0.446,rock,-13.945,0.0697,0.298,Phil Collins,4,0.0316,76,Face Value (Deluxe Editon),Rock Classics,In The Air Tonight - 2015 Remastered
0.521,123.118,0.721,rock,-8.123,0.127,0.942,Talking Heads,4,0.0613,76,Talking Heads '77 (Deluxe Version),Rock Classics,Psycho Killer - 2005 Remaster
0.67,129.269,0.619,rock,-10.322,0.331,0.777,Lenny Kravitz,4,0.0353,71,Are You Gonna Go My Way,Rock Classics,Are You Gonna Go My Way
0.828,105.25,0.539,rock,-9.108,0.154,0.562,Metallica,4,0.035,70,Master of Puppets (Remastered Deluxe Box Set),Rock Classics,Master of Puppets (Remastered)
0.487,114.965,0.73,rock,-10.991,0.0852,0.731,Fleetwood Mac,4,0.0303,79,Tango In the Night (Deluxe Edition),Rock Classics,Everywhere - 2017 Remaster
0.697,116.109,0.741,rock,-7.028,0.133,0.774,Creedence Clearwater Revival,4,0.0277,84,Pendulum (Expanded Edition),Rock Classics,Have You Ever Seen The Rain
0.579,127.215,0.62,rock,-9.307,0.0858,0.691,The Cars,4,0.0473,69,The Cars,Rock Classics,Just What I Needed
0.912,116.761,0.502,rock,-4.556,0.106,0.72,Nirvana,4,0.0564,76,Nevermind (Remastered),Rock Classics,Smells Like Teen Spirit
0.833,88.785,0.466,rock,-4.215,0.0327,0.661,Rage Against The Machine,4,0.304,78,Rage Against The Machine - XX (20th Anniversary Special Edition),Rock Classics,Killing In The Name
0.376,164.775,0.53,rock,-11.913,0.0926,0.188,The Beatles,4,0.04,75,Abbey Road (Remastered),Rock Classics,Come Together - Remastered 2009
0.786,126.755,0.482,rock,-5.735,0.446,0.793,Kansas,4,0.032,73,Leftoverture (Expanded Edition),Rock Classics,Carry on Wayward Son
0.789,129.802,0.674,rock,-6.903,0.0753,0.918,Blur,4,0.0676,78,Blur (Special Edition),Rock Classics,Song 2 - 2012 Remaster
0.441,81.334,0.519,rock,-14.178,0.076,0.25,Pixies,4,0.0353,76,Surfer Rosa (2007 Remaster),Rock Classics,Where Is My Mind? - 2007 Remaster
0.836,113.375,0.743,rock,-6.465,0.384,0.82,The Clash,4,0.116,80,Combat Rock (Remastered),Rock Classics,Should I Stay or Should I Go - Remastered
0.528,109.975,0.932,rock,-6.472,0.163,0.757,Queen,4,0.161,71,The Game (Deluxe Remastered Version),Rock Classics,Another One Bites The Dust - Remastered 2011
0.905,128.019,0.602,rock,-4.046,0.117,0.411,Muse,4,0.0775,75,The Resistance,Rock Classics,Uprising
0.519,98.883,0.653,rock,-10.164,0.101,0.822,Buffalo Springfield,4,0.0497,76,Buffalo Springfield,Rock Classics,For What It's Worth
0.946,138.18,0.454,rock,-5.978,0.173,0.647,Van Halen,4,0.13,68,Van Halen (Remastered),Rock Classics,You Really Got Me - 2015 Remaster
0.828,105.435,0.35,rock,-5.373,0.0774,0.147,Soundgarden,4,0.041,76,Superunknown (Deluxe Edition),Rock Classics,Black Hole Sun
0.349,124.348,0.489,rock,-14.295,0.0866,0.622,Santana,4,0.0323,70,Santana's Greatest Hits,Rock Classics,Black Magic Woman - Single Version
0.872,159.925,0.587,rock,-5.066,0.622,0.735,Lenny Kravitz,4,0.0484,73,5,Rock Classics,Fly Away
0.808,151.008,0.577,rock,-7.04,0.221,0.869,The Police,4,0.039,75,Reggatta De Blanc (Remastered 2003),Rock Classics,Message In A Bottle
0.758,112.113,0.489,rock,-6.491,0.092,0.435,David Bowie,4,0.0297,72,"""Heroes"" (2017 Remaster)",Rock Classics,Heroes - 2017 Remaster
0.932,112.937,0.564,rock,-10.068,0.349,0.619,Led Zeppelin,4,0.0554,75,Led Zeppelin III (Remaster),Rock Classics,Immigrant Song - Remaster
0.338,177.765,0.388,rock,-10.054,0.248,0.478,Electric Light Orchestra,4,0.0329,76,Out of the Blue,Rock Classics,Mr. Blue Sky
0.7,188.386,0.31,rock,-5.678,0.0828,0.763,AC/DC,4,0.047,83,Back In Black,Rock Classics,Back In Black
0.691,137.145,0.548,rock,-13.553,0.144,0.667,Heart,4,0.0369,74,Little Queen,Rock Classics,Barracuda
0.532,136.576,0.601,rock,-9.119,0.0925,0.342,Elton John,4,0.0286,79,Honky Chateau,Rock Classics,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
0.641,203.006,0.256,rock,-10.283,0.0853,0.382,Nirvana,4,0.0552,79,In Utero (Deluxe Edition),Rock Classics,Heart-Shaped Box
0.755,109.535,0.667,rock,-7.246,0.0523,0.883,Eagles,4,0.069,68,Hotel California (2013 Remaster),Rock Classics,Life in the Fast Lane - 2013 Remaster
0.373,92.718,0.671,rock,-18.064,0.0481,0.732,TOTO,4,0.0323,83,Toto IV,Rock Classics,Africa
0.927,141.466,0.333,rock,-8.55,0.297,0.385,Blue Öyster Cult,4,0.0733,75,Agents Of Fortune,Rock Classics,(Don't Fear) The Reaper
